epoch,eval_loss,learning_rate,loss,step
7.65,,8.495687061183552e-05,5.9716,7650
7.7,,8.485656970912738e-05,5.9543,7700
7.75,,8.475626880641926e-05,5.9492,7750
7.8,,8.465596790371114e-05,5.9016,7800
7.85,,8.455566700100302e-05,5.9343,7850
7.9,,8.445536609829489e-05,5.8958,7900
7.95,,8.435506519558676e-05,5.8683,7950
8.0,,8.425476429287864e-05,5.9081,8000
8.0,5.74384069442749,,,8000
8.05,,8.415446339017051e-05,5.8315,8050
8.1,,8.40541624874624e-05,5.8662,8100
8.15,,8.395386158475427e-05,5.9274,8150
8.2,,8.385356068204615e-05,5.868,8200
8.25,,8.375325977933802e-05,5.8973,8250
8.3,,8.365295887662989e-05,5.8909,8300
8.35,,8.355265797392177e-05,5.8186,8350
8.4,,8.345235707121365e-05,5.8849,8400
8.45,,8.335205616850553e-05,5.9,8450
8.5,,8.325175526579739e-05,5.927,8500
8.55,,8.315145436308927e-05,5.8514,8550
8.6,,8.305115346038115e-05,5.8747,8600
8.65,,8.295085255767302e-05,5.822,8650
8.7,,8.285055165496491e-05,5.8571,8700
8.75,,8.275025075225677e-05,5.8656,8750
8.8,,8.264994984954865e-05,5.8815,8800
8.85,,8.254964894684053e-05,5.865,8850
8.9,,8.24493480441324e-05,5.8387,8900
8.95,,8.234904714142428e-05,5.875,8950
9.0,,8.224874623871615e-05,5.8683,9000
9.0,5.743080139160156,,,9000
9.05,,8.214844533600803e-05,5.8327,9050
9.1,,8.20481444332999e-05,5.8229,9100
9.15,,8.194784353059178e-05,5.8454,9150
9.2,,8.184754262788366e-05,5.8133,9200
9.25,,8.174724172517552e-05,5.8171,9250
9.3,,8.164694082246741e-05,5.8107,9300
9.35,,8.154663991975928e-05,5.8087,9350
9.4,,8.144633901705116e-05,5.781,9400
9.45,,8.134603811434304e-05,5.8787,9450
9.5,,8.12457372116349e-05,5.8063,9500
9.55,,8.114543630892678e-05,5.8038,9550
9.6,,8.104513540621866e-05,5.833,9600
9.65,,8.094483450351054e-05,5.7928,9650
9.7,,8.08445336008024e-05,5.8695,9700
9.75,,8.074423269809428e-05,5.8006,9750
9.8,,8.064393179538616e-05,5.8015,9800
9.85,,8.054363089267803e-05,5.7695,9850
9.9,,8.044332998996992e-05,5.8413,9900
9.95,,8.034302908726179e-05,5.8129,9950
10.0,,8.024272818455367e-05,5.755,10000
10.0,5.76340389251709,,,10000
10.05,,8.014242728184555e-05,5.7385,10050
10.1,,8.004212637913741e-05,5.7933,10100
10.15,,7.994182547642929e-05,5.7548,10150
10.2,,7.984152457372117e-05,5.7721,10200
10.25,,7.974122367101305e-05,5.7275,10250
10.3,,7.964092276830491e-05,5.7937,10300
10.35,,7.954062186559679e-05,5.7391,10350
10.4,,7.944032096288867e-05,5.7668,10400
10.45,,7.934002006018054e-05,5.7805,10450
10.5,,7.923971915747243e-05,5.7995,10500
10.55,,7.91394182547643e-05,5.7534,10550
10.6,,7.903911735205617e-05,5.7641,10600
10.65,,7.893881644934805e-05,5.7312,10650
10.7,,7.883851554663992e-05,5.7753,10700
10.75,,7.87382146439318e-05,5.7237,10750
10.8,,7.863791374122368e-05,5.7762,10800
10.85,,7.853761283851555e-05,5.7552,10850
10.9,,7.843731193580742e-05,5.763,10900
10.95,,7.833701103309931e-05,5.75,10950
11.0,,7.823671013039118e-05,5.7666,11000
11.0,5.792295932769775,,,11000
11.05,,7.813640922768304e-05,5.7467,11050
11.1,,7.803610832497494e-05,5.715,11100
11.15,,7.79358074222668e-05,5.6968,11150
11.2,,7.783550651955868e-05,5.791,11200
11.25,,7.773520561685056e-05,5.6853,11250
11.3,,7.763490471414244e-05,5.7443,11300
11.35,,7.75346038114343e-05,5.7771,11350
11.4,,7.743430290872618e-05,5.7693,11400
11.45,,7.733400200601806e-05,5.7574,11450
11.5,,7.723370110330993e-05,5.7403,11500
11.55,,7.713340020060182e-05,5.7378,11550
11.6,,7.703309929789368e-05,5.7359,11600
11.65,,7.693279839518555e-05,5.7358,11650
11.7,,7.683249749247744e-05,5.7238,11700
11.75,,7.673219658976931e-05,5.7328,11750
11.8,,7.663189568706119e-05,5.6835,11800
11.85,,7.653159478435307e-05,5.7324,11850
11.9,,7.643129388164494e-05,5.7089,11900
11.95,,7.633099297893681e-05,5.7236,11950
12.0,,7.623069207622869e-05,5.7406,12000
12.0,5.838135719299316,,,12000
12.05,,7.613039117352057e-05,5.6858,12050
12.1,,7.603009027081243e-05,5.7073,12100
12.15,,7.592978936810433e-05,5.7009,12150
12.2,,7.582948846539619e-05,5.7204,12200
12.25,,7.572918756268807e-05,5.6978,12250
